category,songid,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Romance,5P6S7Slp0r8GycaOjDy8nY,53,0.6779999999999999,0.688,5,-3.278,0.0321,0.0934,0.0,0.0894,0.387,113.978,4
Romance,7uYl7xgDeAOHP98obvrJvB,67,0.688,0.733,9,-4.569,0.0274,0.00462,0.0,0.0756,0.47200000000000003,140.004,4
Romance,1gnsCwG6I2w2AKCBSMJnhJ,53,0.467,0.526,1,-6.224,0.0966,0.595,0.0,0.10800000000000001,0.48100000000000004,165.812,4
Romance,73EaA3mjNHgsIiFrm2hZzV,41,0.502,0.289,2,-11.07,0.0292,0.8390000000000001,0.000196,0.12300000000000001,0.33799999999999997,78.495,4
Romance,6Qyc6fS4DsZjB2mRW9DsQs,72,0.315,0.715,11,-8.072000000000001,0.0362,0.00125,8e-06,0.0942,0.48700000000000004,155.925,3
Romance,2awnpGOj6Go2RuTNuATyaT,56,0.48100000000000004,0.385,4,-12.981,0.0458,0.62,0.11699999999999999,0.114,0.359,148.504,3
Romance,4TqeoKtYEmiiWgsoW1cbr7,43,0.6990000000000001,0.83,1,-3.2089999999999996,0.0373,0.289,0.0,0.0241,0.7829999999999999,99.001,4
Romance,7neoykgx1wqVu8bIU0CBfI,3,0.33,0.0649,3,-25.176,0.0443,0.898,6.2e-05,0.0931,0.32,83.398,4
Romance,4VWbPQUPvLes814r6T11Jz,60,0.7829999999999999,0.45399999999999996,4,-8.251,0.0489,0.456,0.0,0.155,0.715,111.57700000000001,4
Romance,2DpJ9T2RVRanZcYFHKOAfA,62,0.547,0.335,4,-9.2,0.0307,0.747,0.0,0.10099999999999999,0.48,115.838,3
Romance,48Twapc7cyx0pqZGFDB2Fe,48,0.37799999999999995,0.691,4,-5.63,0.0345,0.48,0.0,0.0943,0.213,92.641,4
Romance,6PKh3j7EQYjURTrcOPls5e,44,0.527,0.342,3,-10.902000000000001,0.0266,0.6729999999999999,0.0,0.212,0.188,95.87700000000001,4
Romance,0CjrIEPmqIKnBHy99hun3v,8,0.659,0.364,11,-9.174,0.0317,0.5589999999999999,0.0,0.129,0.239,129.776,4
Romance,14RuwoKFrfao2Gc5jvdVUH,36,0.428,0.314,0,-13.42,0.0302,0.909,0.018000000000000002,0.122,0.33399999999999996,183.49400000000003,3
Romance,3OltYYcLZUhvho5QoRbUNr,53,0.5539999999999999,0.9229999999999999,7,-3.548,0.0376,0.0511,1.4999999999999999e-05,0.191,0.8059999999999999,137.939,4
Romance,7rwb4OxyLyQgEK6t3tX3aY,38,0.627,0.192,7,-13.675999999999998,0.0353,0.75,0.00021099999999999998,0.115,0.312,142.369,4
Romance,6yPuQr6vjZ7tJ4oq1PEXle,57,0.501,0.594,0,-13.457,0.0395,0.613,0.579,0.136,0.259,126.795,4
Romance,0ZPfDxZn5O0L84wvPSN2iG,68,0.51,0.308,0,-9.168,0.0321,0.22699999999999998,0.00031299999999999996,0.12,0.146,126.34899999999999,5
Romance,7iXRsjttPa62GpOcqsx1aE,71,0.593,0.691,2,-7.638,0.0253,0.141,0.0,0.114,0.225,99.946,4
Romance,3MJov5mT64K42o1Rffhblq,64,0.5589999999999999,0.466,5,-6.769,0.0362,0.315,0.0039,0.0933,0.595,117.21,4
Romance,4myjp85ZjGoiI2iFWPivNL,42,0.552,0.5660000000000001,1,-6.952000000000001,0.28300000000000003,0.125,0.0,0.19899999999999998,0.228,135.541,4
Romance,3WJFQZwx4jx1XTasxdsBgr,43,0.711,0.406,10,-9.969,0.0257,0.489,7.6e-05,0.126,0.693,82.23700000000001,4
